author	essay_title	essay_text
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Protection of the domestic environment from foreign invasion and commercial disruption meant that Confucianism could exert its influence on a bureaucratic government ensconced in an agrarian economy. In this context Confucianism then contributed not to the preservation of the social and political systems of the previous dynasty, but to the transformation of those systems into the balanced aristocratic/bureaucratic type. In order to sustain this argument, it will be necessary to show that the social and political settlement of the Choson period was not a continuation of an earlier mode that reaches back to Korean antiquity, but the product of a relatively slow process of evolution which, despite apparent setbacks, proceeded in remarkably straightforward fashion.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	In the following sections of this article it will be shown how an aristocratic society emerged in Korea in the Silla period, and was then subjected to restraints by the introduction of bureaucratic institutions by the kings of Koryo, who sought to increase their power at the expense of the aristocrats. Although Confucianism played a role in these developments, it did not emerge as a major force for centralized bureaucratic power until the transition from Koryo to Choson in the fourteenth and fifteenth centuries. The reforms carried out at the time of the transition, however, did not eliminate the aristocracy altogether or complete the process of bureaucratization and centralization of power. The denouement of reform then raises the question of whether the failure to achieve centralized power was because the aristocracy was simply too powerful, or whether that failure resulted from Confucianism itself—the implications of its doctrines and their influence on society. The answer to this question and the main point of the analysis is that Confucianism contained contradictory emphases and influences, one conducive to bureaucratic centralization, and the other to inherited status and aristocratic society. The emergence of a social elite marked by a balance of bureaucratic and aristocratic elements may have been the product of unique socioeconomic forces, but it was also compatible with the social implications of Confucian thought.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	In order to support this hypothesis, the argument will then shift to a treatment of China from the late Han through the Sung. The purpose will be to show that even though aristocracy developed in China in a pattern quite different from the Korean experience, Confucianism in China also had a dual and contradictory influence on Chinese society, producing by the Tang dynasty a balance between bureaucratic and aristocratic elements similar to what occurred in Korea about eight centuries later. By the late Tang or early Sung, however, this balance was destroyed in favor of central and imperial power.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	In the last section of this study, the focus of the argument will return to Korea in the period after the fifteenth century for the purpose of showing how and why the balance of bureaucratic and aristocratic forces remained intact through the late nineteenth century instead of repeating the experience of the Chinese in the period after the Tang dynasty.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Before proceeding to the historical argument, it is first necessary to justify the use of the term Confucianism in the limited sense of a body of moral and philosophical ideas and social practices that could produce contradictory and conflicting influences on society—the aristocratic and the bureaucratic effects. One main theme in the interpretation of Confucian thought and its effects on society was that it emerged in the context of a Chou feudal milieu and was designed to impose or restore a feudal moral order in the face of disorder and confusion. After the feudal order was destroyed by the Chin state organized in bureaucratic fashion and inspired by Legalist philosophy, however, Confucianism proved adaptable to the new centralized bureaucratic order and became state-sponsored philosophy or ideology. Men like Tung Chung-shu 董仲舒 of the Former Han introduced new elements to justify and reinforce the imperial institution and Confucian moral precepts were inserted into the legal code and backed up by the force of law and punishment. It could therefore be argued that the centralizing, legalistic, and bureaucratic aspects of Han and post-Han Confucianism came from outside Confucian thought itself, representing a new fusion of Legalistic and Confucian ideas.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	There is no denying that from the Han on Confucian thought was always located in the midst of the centralized bureaucratic context and differed in significant ways in thought and practice from Chou times. The transition could not have been made, however, had it not contained elements compatible with the centralized state. At the same time it retained other elements carried over from the Chou feudal context that could function to reinforce centrifugal or aristocratic elements in society. At the risk of gross oversimplification, I would list the contradictory potentialities of Confucianism in the following way.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The moral emphasis on filial piety and loyalty could be used to subordinate the individual or the family to the ruler, but it might also function to encapsulate the family and protect it from the intrusion of state power. The insistence on the recruitment of ministers and officials on the basis of virtuous thought and behavior might, in the form of the examination system, lead to an increase in the power of the throne over the scholar/bureaucrats as a class, or it might lead to a delegation of authority in personnel matters to the bureaucracy at the expense of imperial despotism. The definition of the ruling class as an elite of virtue that had to be afforded status and privilege might solidify the loyalty of that class to the throne, or it might justify the inheritance of status, privilege, wealth, and tax exemption to the detriment of imperial power. The portrayal of rulers as virtuous paragons could be used to rationalize or embellish what was in fact the naked power of the militaristic despot, or by insistence on the right of remonstrance check and limit the exercise of despotic authority. The assignment of responsibility to local elders, scholars, and men of virtue might force otherwise rebellious localities into conformity with imperial dictates and subordinate the village to the hierarchy of centralized administration, or it could institutionalize the semi-autonomy of the village and insulate it against centralized control. The belief in the supremacy of the public good and the ideal of the Mencian well-field system might lead to the assertion of the states interest as opposed to private or familial interest in the control of land and wealth, or the emphasis on family solidarity as the basis of a moral social order might strengthen private property in land and reduce the states ability to control resources.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	This long list of contrary tendencies indicates the wide range of possible political and social consequences of Confucian influence, but it does not mean that Confucianism could result in an infinite number of consequences, which would in effect eliminate it as an an independent variable. Social influences might depend in some part on the effects of changes in Confucian philosophy and learning, such as the development from Neo-Confucianism to Wang Yang-ming to the Chʻing dynasty tradition of Han learning and empirical research, but I doubt that these changes invalidate the above formulation of contrary tendencies. In certain circumstances and certain periods the contradictory impulses of Confucian social influences were both present such that the structure of state and society or the nature of the social elite can best be explained as a balance between bureaucratic and aristocratic forces. A brief description of historical trends is necessary to sustain this argument.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	THE DEVELOPMENT OF ARISTOCRACY IN KOREA: FOURTH TO FOURTEENTH CENTURIESAristocracy was, of course, not ordered suddenly into existence by the mythical Tangun 檀君. It took centuries of development for it to emerge from earlier forms, and even when it did, it was not the ideal type that everyone imagines. It had its progenitors in the tribal mode of political and social organization and the military aristocrats of the early Three Kingdoms period (in the late third and fourth centuries, A.D.) and was always balanced by some mixture of bureaucratic organization, no matter how skeletal. It reached its full development in Silla society, in the southeastern corner of Korea with the creation of the bone rank (kolpʻum 骨品) system.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	There is much debate over the origins of the Silla bone ranks—some holding for its origins in the third and fourth centuries, and others insisting that it did not flower fully until the addition of the head ranks (tupum 頭品) to the bone ranks in the ninth century, barely one hundred years prior to its abolition. Under the mature form of the system, society was divided into hereditary ranks which set the standards of eligibility not only of kingship and officeholding, but also of all the aspects of social and material life from ones house to ones socks. For our purposes it is immaterial whether this system evolved slowly from pre-unification Silla in the fourth century or was created belatedly in the unified Silla kingdom in the ninth; for if the latter, we might merely argue that it was after all the product of an evolving Silla society, and not of any direct borrowing from China.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Silla was predominantly a Buddhist country with an important component of Confucian learning. It was a bureaucratic kingdom, but its kings were relatively weak, their bureaucratic apparatus did not extend too far into the countryside or too far down to the villages, and both court and village were dominated by aristocrats, the former cultured and refined, the latter rustic and crude—and this despite the influence of Tang China for three hundred years. Certainly by comparison to Silla, the Tang, or at least the first half of the Tang, was a period when China was a country of codified law, ramified and articulated bureaucratic organization, huge state armies, and state control over a significant (but yet unknown) percentage of land and peasant cultivators. The power of the Silla kings and central government paled by comparison in large part because of the grander power of her aristocrats. This was the most aristocratic age in Korean history, where the hereditary factor in ruling class membership far outweighed the bureaucratic.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Where the effect of Confucianism is seen in this society, if at all, is in the drive by Confucian-educated men of lower rank to break through the restrictions of inherited status. Those few like Chʻoe Chʻiwon 崔致遠 who went to Tang China, passed the exams, and served in the Tang bureaucracy, returned home only to find their talents disdained. And according to the argument of Yi Kibaek 李基白, it was the members of the sixth head rank, just below the highest ranks of aristocratic ministers, who sought liberation from the system by joining forces with the rebels against Silla and wanted to rise to power and influence in the new Koryo 高麗 regime, much like lower samurai were supposed to have done during the destruction of the Tokugawa. In other words, Confucianism played a dynamic, progressive role in the destruction of aristocratic society, but we should pause before concluding that its ultimate objective was pure rationality, meritocracy, or egalitarianism.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The gradual and protracted weakening of hereditary aristocracy is illustrated by the limited way in which the early Koryo government adopted Tang institutions of centralized power, bureaucratic organization and egalitarian distribution. The founding of Koryo had been based on Wang Kons 王建 skillful compromises with a number of warlords, the lords of walled towns (songju 城主), and military commanders (changgun 將軍) of the local regions. He made no attempt to impose central, bureaucratic rule on localities, adopt a highly complex bureaucratic system, eliminate ethnic and regional diversity in the formation of a national army, confiscate land from the regional lords and redistribute it to peasants, or manumit slaves and incorporate them into the taxable commoner population. These tasks were only begun in the middle of the tenth century, and then in piecemeal fashion. The civil service examination system was adopted for the first time in 958, but was responsible for recruiting only a small fraction of the governments officials. Limited attempts were made to limit land and slaveholding, as early Koryo kings sought to consolidate power at the capital at Kaegyong 開京. A national army had to be forged because of the serious threats of invasion from the Khitan, but the command of capital guards and regional forces remained fragmented because of political struggles as consort families and aristocrats vied with princes and noblemen to seize control over the throne. The bone ranks had disappeared, but there were still prominent aristocratic families identified by the place names (pongwan 本貫) associated with the residences of clan progenitors, much in the same fashion as the Northern and Southern dynasties aristocrats of China. And finally a state-sponsored land system, called the chonsikwa 田柴科 allotments, was established as a symbol of increased central power. This land system, however, was a far cry from the equal field chün-tien 均田 system of the period from the Northern Wei (485) to the mid-Tang (mid-eighth century) because it did not provide for regular land grants to commoner peasants based on sex and age. Military service was required of the general commoner population, but only a fraction served on duty, and service (whether military or ordinary corvée) was not regarded as a reciprocal obligation due from all peasants in return for subsistence land grants from the state. The chonsikwa system provided for two types of individuals: those granted rank and privilege by the state and those who performed some function or service for the state. Grants to men of rank and office probably took the form of prebendal tax allocations, rather than outright land grants, and some scholars have concluded that the state was merely confirming land already held by such individuals. This kind of system marked a partial intrusion of state power into the domain of the hereditary aristocratic landlord and slaveowner, not a full assertion of state power. It was an open admission that the state did not have the power to confront the aristocracy of land and prestige directly, a symbol of a weakly bureaucratized and centralized state.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Nonetheless the system of prebendal allotments to functionaries coupled with the recruitment of some officials from the examination system constituted a direct challenge to the predominance of the aristocratic and military elites that had dominated Korean society during the Three Kingdoms and Unified Silla periods. The central state was attempting to distribute prestige, office, and economic support to its functionaries at the expense of independent military power.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Although the Confucians did not necessarily take the lead in these measures—they were after all supporting initiatives taken by kings who wanted to maximize their power at the expense of their political rivals—nonetheless, Confucians played an important progressive role in the creation of the monarchical, bureaucratic, and centralized state. It would appear, however, that the power of the kings and the influence of some Confucians bent on centralization were too weak to complete the process and thus destroy the domination of hereditary aristocrats and the strong traditions of an ascriptive society with its roots in the tribalism of early Korean history and the bone-ranks of Silla. What was created was a compromise between the rigid status demarcations of Silla and the more bureaucratized system of the Choson dynasty. Korea was on the move toward the establishment of a society on the model of the Tang where a centralized bureaucracy was staffed by members of aristocratic families, but one last struggle against the military had to be won before this process could be completed.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	When the Confucian supporters of the king at the capital at Kaegyong (modern Kaesong 開城) suppressed the rebellion of the monk, Myochʻong 妙清, that would-be Rasputin of the Koryo period, and wiped out his military and regional supporters in the Western Capital at Pyongyang 平壤 in 1136, it should have marked the ultimate victory of civil, bureaucratic rule over the military. It became, however, the turning point toward the resurgence of the military, the recreation of private estates, the resubjugation of the peasantry, and social disintegration in general. When the military realized that they were the key to the political struggles at court, they seized power by brute force. As opposed to the Tang, however, where the frontier commanders established their bases of power in the periphery and directed it against the center, the Koryo military were thoroughly ensconced in the capital and launched a series of Praetorian coups-détat against the government. After Chong Chungbus 鄭仲夫 coup of 1170, the social order was disrupted by military officers some of whom worked their way up the ranks, peasant, and even slave rebels.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The period of military dictatorship that extended from the late twelfth through the mid-thirteenth century (in the midst of the Mongol invasions) was only an apparent reversion to a simpler and more primitive mode of political rule. Society had been turned upside down for a generation but the aftermath revealed important continuities. The bakufu 幕府-type government of the Chʻoe 崔 family, who controlled puppet kings from behind the scenes much like the Kamakura kampaku, used civil bureaucrats and paid respects to Confucian learning. They did not attempt to create a system of infeudation or decentralized military rule. The military usurpers had merely taken over the central government and central army, and when finally subdued by the Mongols after 1259, the Confucian bureaucrats were in a solid position to establish a firmer base for their social position and political power.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The effects of Mongol rule on Korean state and society are complex and contradictory, but it is possible to discern some very important trends. Mongol rule did not introduce the practices of imperial despotism into the Koryo royal house because kings and princes were powerless figureheads who often spent their time at court in China imbibing culture. For that matter, some Korean officials were calling openly for annexation of the Korean peninsula by the Yüan empire. The members of the Ki 奇 family and their political supporters, for example, obviously hoped to benefit by their connection with the Korean empress (née Ki) of the last Yüan emperor, whose son might well have become the emperor of all China. These men were willing to countenance not only the destruction of Korean kings but the extinction of the Korean nation in the hopes of gaining a wider area for the exercise of family and individual political power, but fortunately for the Korean people, their hopes were dashed with the fall of the Yüan.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The Mongol victory had also precluded whatever possibility for feudalism may have existed in the thirteenth century, and Yüan rule allowed not only for the reestablishment of civilian, bureaucratic government, but also the permanent weakening of the military elite, and the Korean discovery of Neo-Confucian thought. In the fourteenth century Mongol rule preserved a role for the Confucian bureaucrat but did not yet create a society in which the bureaucrat controlled both state and society from a secure roost. This was the age of private power and tax-exempt private estates, leaving the king and his court officials with barely a pittance for salaries and emoluments.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Nonetheless, the Mongol regime sowed the seeds of the Neo-Confucian revival in Korean soil, an intellectual movement which, in China, was already undergoing a shift toward the introspective and activist wing of Lü Xiangshan 陸象山 and a minor revival of Buddhism. Just as the intellectuals of the Yüan were canonizing the Four Books of Chu Hsi 朱熹 into the civil service examination curriculum, they were introducing Sung thought to the Korean scholarly community.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Even as early as the late tenth through the late twelfth centuries, there had been an active interest among some Koryo Confucians in philosophic developments in Sung China, such as the study of texts like the Book of Changes and the Doctrine of the Mean and the emphasis on principle and human nature. Korean Confucians of this era were at least keeping pace with the new trends, but this promising intellectual development was cut short in the aftermath of military coups of the post-1170 period. The scholars of the new Confucianism were driven out of court to the countryside, preserving the new ideas in reclusive study and self-cultivation. This reaction against the Confucians was not just due to the anti-intellectualism of the military men; it was a response of Spartan and even moralistic soldiers to what Yi Chehyon 李齊賢, himself an advocate of Neo-Confucian learning in the early to mid-fourteenth century, had acknowledged was the loss of proper spirit among Confucians amidst the dissipation, frivolousness and hedonism that dominated the rule of King Ŭijong after 1145. King Ŭijong 毅宗 was undoubtedly the butt of fifteenth century didactic historians, but there were in fact repeated tendencies for literary culture in China and Korea to become inbred, rarefied, precious and cut off from the real life concerns of the state and people. This no doubt occurred in the mid-twelfth century, a precarious period for the cultured man who had not yet won full victory over the military in Korean life.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Confucianism lived on in the nurturing and protective hands of the syncretists, whether Buddhists like Chinul 知訥 or Confucianists like Yi Chehyon or Yi Saek (李穡), but for it to succeed and dominate thought in the midst of an inhospitable environment, it had to become more militant. Up to the mid-fourteenth century, Korean exposure to early Sung Neo-Confucianism had not been accompanied by the same virulent attack on Buddhism that had begun with Han Yü 韓愈 in the ninth century Tang and continued into the Sung. It was not until the adoption of the emphasis on the practical ethics of daily life as advocated by the Lu-chai 魯齋 school of Hsü Heng 許衡 that Korean Confucianism became polemical, breaking its harmonious ties with Buddhist thought.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	CONFUCIANISM AND REFORM: THE KORYO/CHOSON TRANSITION, FOURTEENTH AND FIFTEENTH CENTURIESFrom the mid-fourteenth century Confucian thinkers became partners in an enterprise that had all the earmarks of a major transformation in ideas, social practice, government organization, social structure, and land tenure. It was the time when the seeds were sown for irreversible shifts in Korean history: from weak bureaucratic monarchy to full institutionalized bureaucracy in the Chinese pattern, and from Buddhism and syncretism to Neo-Confucian orthodoxy in thought and religious practice. The Neo-Confucian anti-Buddhist polemicists were in the forefront of these movements, striving for a more powerful monarchy, recruitment by examination, limitation of land and slave ownership, and even redistribution of land and universal military service according to the well-field model of classical antiquity (particularly in the Chou li 周禮).
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The late fourteenth century reform movement cannot be explained simply in terms of material forces—the yearnings of the military commanders for power, or the small landowners for land, or the sons of the hyangni 郷吏 (families of the local petty officials) for membership in the regular bureaucracy. Reform was fueled by the idealism of the newly converted and the impetus for that was provided by the stress on ethical perfection. The late fourteenth century was not an age of philosophy but of ethics and no better example is provided than by Chong Tojons 鄭道傳 polemics against Buddhism. He was not really thoroughly knowledgeable in Buddhist philosophy; it was his ignorance of some of its finer points that allowed him to be so intolerant. But the ethical focus of Confucianism undoubtedly inspired men like him to take advantage of the opportunities provided by Yi Songgyes 李成桂 leadership to create the Confucian millennium in the material realm by a thoroughgoing elimination of landlordism and private property and institution of egalitarian land grants to peasants in the manner of the Tang equal field system.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The final settlement of the land question must have been a disappointment to the radicals of the 1380s. The political losers in the transition to the Choson (Yi) dynasty undoubtedly were stripped of their estates, but the major beneficiaries of land reform were the men of rank and office and the merit subjects—the political supporters of Yi Songgye. The new land system did not result in the nationalization of all land and its redistribution to peasants on the basis of equality, and it did not result in the elimination of landlord/tenant relations or slavery. It provided mainly for the allocation of prebendal tax grants on specified parcels within the confines of the province surrounding the capital, Kyonggi 京畿, and allowed the prebend recipients to dispatch their agents to collect the amounts due, as specified by the state. As in the case of the chōnsikwa system of the eleventh century, prebend grantees were not confined to incumbent functionaries, but included all those granted rank by the state, providing even for the transmission of eligibility for prebendal grants to male heirs under the traditional Chinese type of “protection” (ŭm 蔭) privilege. By the late fifteenth century, however, even the system of state prebends broke down and it was the landlord, slaveowner, and merit subject who emerged as the replacements for the estate lords of late Koryo. A new state had been produced that established Confucianism as state orthodoxy, as the main subject of instruction in state schools and in the home, and as the main content of the civil service examinations, but the economic settlement remained far removed from the egalitarian model of the Mencius or the Chou li. Was this result not really a sign of the limited ability of Confucian thought as a practical ideology to achieve the egalitarian transformation of an agrarian society dominated by the private economic interests of landlords? Were not the Neo-Confucian ideologues and radical reformers of the late fourteenth century no more than the intellectual heirs of the Northern and Southern Sung philosophers who continued their intellectual stuggle to work out an accommodation between well-field egalitarian idealism and the limitations of reality even after the failure of the practical reformer, Wang An-shih 王安石, in the eleventh century had rendered their efforts futile? After all, the idealism of the late Koryo and early Choson reformers had come face to face with the overpowering concrete material interests of the landlords and politicians, and by the mid-fifteenth century, landlordism and the evasion of public service by the elite was again becoming the order of the day. The Confucian bureaucratic state was becoming routinized in patrimonial fashion as the high ministers and merit subjects sought to pass on their economic position and special privileges to their sons.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	An evaluation of the ability of Confucian ideas to transform society depends on the degree of ones expectation. If nothing less than the replication of well-field egalitarianism in the distribution of land, labor and military service, the recruitment of officials on the basis of virtue, and the Chou li ideal of political and social organization are required to admit the influence of Confucian idealist thought on society, then it is difficult to concede that Confucianism had much of an effect on Korean society throughout all its history. But if one is willing to settle for subtler changes in the constitution of state and society, then it is clear that Confucianism exerted significant influence on Korean society in the transition from the Koryo to the Choson dynasties in the late fourteenth and fifteenth centuries.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The kwajōn 科田 land reform of late Koryo and early Choson may have provided for the economic support of titled aristocrats and bureaucrats rather than the ordinary peasants, but it was nonetheless sanctioned in Confucian thought by an appeal to the dictum that it was the responsibility of an enlightened ruler to provide sustenance to the class of virtuous ministers so that they would be able to maintain superior status over the mass of subjects or common peasants. The Confucian bureaucracy in real life represented a mixture of merit and heredity, and not simply a rationalistic meritocracy expected to turn over completely every generation. By the middle of the fifteenth century, the expansion in the number of sons of ranked titleholders, officials and merit subjects was simply too great for the state to maintain this artificial support system without doing damage to its financial structure, so bureaucrats and aristocrats were allowed to fend for themselves in obtaining an economic base, and they did so by the private accumulation of land and cultivators.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Thus what was wrought by the transition from Koryo to Choson was the modification of the Koryo ruling class. The ownership of land and slaves, the renting of land to tenants, and the acquisition of wealth from office salaries and emoluments still provided the economic base of the ruling class, but now the success in the states civil service examinations became more important for maintaining family status. Achievement in examinations did not, however, lead to the disappearance of the hereditary principle. On the one hand it resulted in the weeding out of some families from positions of wealth and prominence in society, even branches of the dominant clans, while in other cases continued success in the examinations led to the perpetuation of clans if not families as bureaucratic aristocrats for the whole five hundred years of the dynasty.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	As David Johnson pointed out in his study of the Tang, even though such an elite might not be deemed a pure aristocracy because it was not based exclusively on blood or birth, the opportunity provided by the examinations for renewal of prestige had the effect of prolonging the fortunes of individual families. Johnson did not want to call this elite an aristocracy because the criterion for its existence and continuation was not exclusively blood, kinship, or male primogeniture, but I see no reason for not doing so. In Korea (or China) aristocracy may not have been dissociated from degree-holding or officeholding, but the opportunity to recharge ones family batteries every so often made it difficult to eliminate the aristocracy, at least in Korea. Despite the existence of downward mobility, Wagners studies have shown that a remarkably small percentage of clans were responsible for a high percentage of examination success, that some of these clans remained prominent to the end of the dynasty, and that despite legal opportunities for upward mobility through the examination success, there were only a few newcomers into the class of examination passers (let alone high official families) throughout the dynasty.
